Familia actualizada,Género actualizado,Especie actualizada,Taxa infraespecífico,Autor,MEXUw,Colector,Colectores asociados,N° Colecta,Familia anterior,Género anterior,Especie anterior,Estado,País,Fecha,Día,Mes,Año,Institución,Donaciones,Péstamos/ Exhibiciones,Nombre común,Forma de vida,Parte del árbol donde se realizó la colecta,Altura,DAP,Altura de colecta,N° Fam,Nº Género,,,,,,,,,,,,
Rubiaceae,Calycophyllum,candidissimum, ,(Vahl) DC.,MEXUw-0052,"Miranda, Faustino",,5818,,,,Chiapas,México,29/11/1949,29,11,1949,"Instituto de Biología, UNAM",,,,Árbol,,,,,270,8217,,,,,,,,,,,,
Sapotaceae,Chrysophyllum,oliviforme, ,L.,MEXUw-0053,"Miranda, Faustino",,7490,,,,Chiapas,México,26/3/1952,26,3,1952,"Instituto de Biología, UNAM",,,Chumi,Árbol,,,,,239,6377,,,,,,,,,,,,
Ebenaceae,Diospyros,acapulcensis,subsp. verae-crucis,"(Standl.) Provance, I.García & A.C.Sanders",MEXUw-0054,"Miranda, Faustino",,7475,,,verae-crusis,Chiapas,México,6/2/1952,6,2,1952,"Instituto de Biología, UNAM",,,Zapotillo,Árbol,,,,,240,6406,,,,,,,,,,,,
Styracaceae,Styrax,argenteus, ,C. Presl,MEXUw-0055,"Miranda, Faustino",,NA,,,,Chiapas,México,99/99/1952,NA,NA,1952,"Instituto de Biología, UNAM",,,Chucamay de montaña,Árbol,,,,,241,6411,,,,,,,,,,,,
Apocynaceae,Cascabela,ovata, ,(Cav.) Lippold,MEXUw-0056,"Miranda, Faustino",,NA,,Thevetia,,Chiapas,México,99/99/1958,NA,NA,1958,"Instituto de Biología, UNAM",,,Chucamay de montaña,Árbol,,,,,247,6632,,,,,,,,,,,,
Thymelaeaceae,Daphnopsis,bonplandiana, ,(Kunth) Standl.,MEXUw-0057,"Miranda, Faustino",,NA,,,,Chiapas,México,NA,NA,NA,NA,"Instituto de Biología, UNAM",,,Talismecate,Árbol,,,,,214,5449,,,,,,,,,,,,
Salicaceae,Hasseltia,guatemalensis, ,Warb.,MEXUw-0058,"Miranda, Faustino",,7066,Flacourtiaceae,,,Chiapas,México,27/2/1951,27,2,1951,"Instituto de Biología, UNAM",,,Citeito,Árbol,,,,,199,5308,,,,,,,,,,,,
Ochnaceae,Ouratea,sp., ,Aubl.,MEXUw-0059,"Miranda, Faustino",,7046,,,,Chiapas,México,25/2/1951,25,2,1951,"Instituto de Biología, UNAM",,,Ouratea,Árbol,,,,,182,5113,,,,,,,,,,,,
Calophyllaceae,Calophyllum,brasiliense, ,Cambess.,MEXUw-0060,"Miranda, Faustino",,7253,Guttiferae,,,Chiapas,México,10/8/1951,10,8,1951,"Instituto de Biología, UNAM",,,Leche maría,Árbol,,,,,187,5178,,,,,,,,,,,,
Fabaceae,Cojoba,arborea, ,(L.) Britton & Rose,MEXUw-0061,Enriquez,,7591,Leguminosae,Pithecellobium,arboreum,Chiapas,México,6/3/1952,6,3,1952,"Instituto de Biología, UNAM",,,Coralillo,Árbol,,,,,128,3441,,,,,,,,,,,,
Malvaceae,Ochroma,lagopus,subsp. bicolor,(Rowlee) Standl. & Steyerm.,MEXUw-0062,"Miranda, Faustino",,6641,Bombacaceae,,,Chiapas,México,6/3/1952,6,3,1952,"Instituto de Biología, UNAM",,,Jopi,Árbol,,,,,177,5034,,,,,,,,,,,,
Fabaceae,Machaerium,floribundum, ,Benth.,MEXUw-0063,"León Gómez, Calixto",,925,Leguminosae,,,Veracruz,México,5/5/2002,5,5,2002,"Instituto de Biología, UNAM",,,Mano de galapago,Liana,,,,,128,3823,,,,,,,,,,,,
Fabaceae,Bauhinia,divaricata, ,L.,MEXUw-0064,"Miranda, Faustino",,6885,Leguminosae,,,Chiapas,México,6/3/1952,6,3,1952,"Instituto de Biología, UNAM",,,Totzitza,Árbol,,,,,128,3528,,,,,,,,,,,,
Fabaceae,Inga,vera,subsp. vera,Humb. & Bonpl. ex Willd.,MEXUw-0065,Enriquez,,7522,Leguminosae,,spuria,Chiapas,México,27/3/1952,27,3,1952,"Instituto de Biología, UNAM",,,Cuajinicuil,Árbol,,,,,128,3436,,,,,,,,,,,,
Hernandiaceae,Gyrocarpus,americanus, ,Jacq.,MEXUw-0066,Enriquez,,7478,,,,Chiapas,México,21/2/1952,21,2,1952,"Instituto de Biología, UNAM",,,San Felipe,Árbol,,,,,103,2830,,,,,,,,,,,,
